depth,profile_filename,flag_quality,posixct_date_utc,latitude_dec_degrees,longitude_dec_degrees,sun_zenith_angle_degrees,hole_type,wavelength,edz,euz,luz,pred_ked,a0,pred_edz_from_klu
0.65,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.402270576478928
0.66,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.396416964486118
0.67,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.390567981447763
0.68,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.3847236237033504
0.69,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.378883887595263
0.7,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.373048769468776
0.71,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.367218265672052
0.72,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.361392372556145
0.73,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.355571086474993
0.74,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.3497544037854174
0.75,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.3439423208471215
0.76,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.338134834022685
0.77,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.332331939677565
0.78,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.326533634180095
0.79,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.320739913901477
0.8,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.314950775215784
0.81,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.309166214499958
0.82,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.303386228133802
0.83,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.297610812499988
0.84,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.2918399639840406
0.85,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.28607367897435
0.86,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.2803119538621575
0.87,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.27455478504156
0.88,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.268802168909507
0.89,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.263054101865796
0.9,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.25731058031307
0.91,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.251571600656821
0.92,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.245837159305378
0.93,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.240107252669915
0.94,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.2343818771644415
0.95,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.228661029205804
0.96,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.2229447052136795
0.97,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.217232901610581
0.98,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.211525614821848
0.99,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.205822841275644
1,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.200124577402964
1.02,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.188741564416243
1.04,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.177376547366016
1.06,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.166029497801671
1.08,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.154700387317567
1.1,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.143389187552978
1.12,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.13209587019201
1.14,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.120820406963535
1.16,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.1095627696411245
1.18,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.09832293004297
1.2,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.08710086003182
1.22,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.075896531514903
1.24,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.064709916443865
1.26,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.053540986814691
1.28,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.042389714667641
1.3,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.031256072087176
1.32,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.020140031201895
1.34,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.009041564184454
1.36,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,6.997960643251505
1.38,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,6.986897240663626
1.4,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,6.975851328725245
1.42,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,3.64400047995369,NA,NA,0.0791098843311679,7.792862203515311,6.96482287978458
1.44,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,3.64512649815916,NA,NA,0.0791098843311679,7.792862203515311,6.953811866233561
1.46,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,3.64636167947702,NA,NA,0.0791098843311679,7.792862203515311,6.942818260507769
1.48,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,3.64770424647145,NA,NA,0.0791098843311679,7.792862203515311,6.931842035086359
1.5,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,3.64915226033541,NA,NA,0.0791098843311679,7.792862203515311,6.9208831624919975
